8000029c-0002-f400-b63f-84710c7967bb|2016-11-30 12:59:32.0866|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=2017-09-27&DateTo=&PageSize=0
800002a6-0002-f400-b63f-84710c7967bb|2016-11-30 13:02:53.5420|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800002a6-0002-f400-b63f-84710c7967bb|2016-11-30 13:02:57.8295|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800002a6-0002-f400-b63f-84710c7967bb|2016-11-30 13:02:58.4828|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800002a8-0002-f400-b63f-84710c7967bb|2016-11-30 13:03:07.6905|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800002a8-0002-f400-b63f-84710c7967bb|2016-11-30 13:03:13.7598|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800002a8-0002-f400-b63f-84710c7967bb|2016-11-30 13:03:13.7898|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800002aa-0002-f400-b63f-84710c7967bb|2016-11-30 13:03:25.4161|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=2013-01-27&DateTo=
800002aa-0002-f400-b63f-84710c7967bb|2016-11-30 13:03:27.9638|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=2013-01-27&DateTo=
800002aa-0002-f400-b63f-84710c7967bb|2016-11-30 13:03:27.9748|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=2013-01-27&DateTo=
80000345-0000-ef00-b63f-84710c7967bb|2016-11-30 13:27:25.4152|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000345-0000-ef00-b63f-84710c7967bb|2016-11-30 13:27:30.5304|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000345-0000-ef00-b63f-84710c7967bb|2016-11-30 13:27:31.1485|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000347-0000-ef00-b63f-84710c7967bb|2016-11-30 13:27:47.5365|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000347-0000-ef00-b63f-84710c7967bb|2016-11-30 13:27:53.6072|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000347-0000-ef00-b63f-84710c7967bb|2016-11-30 13:27:53.6382|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000349-0000-ef00-b63f-84710c7967bb|2016-11-30 13:28:18.6908|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=2018-12-01&DateTo=
