800001cf-0002-f400-b63f-84710c7967bb|2016-11-23 10:28:59.7334|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&SelectedPublishersName=GamesCorporation
800001cf-0002-f400-b63f-84710c7967bb|2016-11-23 10:28:59.7872|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&SelectedPublishersName=GamesCorporation
800001d1-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:14.3280|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week
800001d1-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:14.3510|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week
800001d1-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:14.4150|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week
800001d3-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:17.2222|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=Popularity
800001d3-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:17.2362|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=Popularity
800001d3-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:17.2896|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=Popularity
800001d5-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:21.7543|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=Popularity&FilterBy=PriceDesc
800001d5-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:21.7733|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=Popularity&FilterBy=PriceDesc
800001d5-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:21.8197|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=Popularity&FilterBy=PriceDesc
800001d7-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:26.3093|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear
800001d7-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:26.3313|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear
800001d7-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:26.3820|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear
800001d9-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:29.4559|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&FilterBy=PriceAsc
800001d9-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:29.4768|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&FilterBy=PriceAsc
800001d9-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:29.5397|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&FilterBy=PriceAsc
800001db-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:37.4867|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&FilterBy=PriceAsc&FilterBy=PriceDesc
800001db-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:37.5128|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&FilterBy=PriceAsc&FilterBy=PriceDesc
800001db-0002-f400-b63f-84710c7967bb|2016-11-23 10:29:37.5554|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&FilterBy=PriceAsc&FilterBy=PriceDesc
800001dd-0002-f400-b63f-84710c7967bb|2016-11-23 10:30:11.4872|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=1&MaxPrice=&DateOfAdding=twoyear
800001dd-0002-f400-b63f-84710c7967bb|2016-11-23 10:30:11.5272|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=1&MaxPrice=&DateOfAdding=twoyear
800001dd-0002-f400-b63f-84710c7967bb|2016-11-23 10:30:11.6323|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=1&MaxPrice=&DateOfAdding=twoyear
800001df-0002-f400-b63f-84710c7967bb|2016-11-23 10:30:16.8072|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=1&MaxPrice=11&DateOfAdding=twoyear
