80000651-0001-ec00-b63f-84710c7967bb|2016-11-25 17:39:46.6074|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/Game7_Game7/Details
80000651-0001-ec00-b63f-84710c7967bb|2016-11-25 17:39:50.2108|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/Game7_Game7/Details
80000653-0001-ec00-b63f-84710c7967bb|2016-11-25 17:39:56.3591|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000653-0001-ec00-b63f-84710c7967bb|2016-11-25 17:39:56.6709|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000006b-0003-ec00-b63f-84710c7967bb|2016-11-25 17:42:30.3805|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000006b-0003-ec00-b63f-84710c7967bb|2016-11-25 17:42:35.1832|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000006d-0003-ec00-b63f-84710c7967bb|2016-11-25 17:42:43.0639|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
8000061a-0000-f000-b63f-84710c7967bb|2016-11-25 19:20:53.1676|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000004f-0002-fb00-b63f-84710c7967bb|2016-11-25 19:21:58.7581|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000271-0002-ea00-b63f-84710c7967bb|2016-11-25 19:27:47.8834|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000242-0002-f700-b63f-84710c7967bb|2016-11-25 19:40:31.7886|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000242-0002-f700-b63f-84710c7967bb|2016-11-25 19:40:40.5039|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000246-0002-f700-b63f-84710c7967bb|2016-11-25 19:40:48.8880|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/Ikura/Details
